,name,grade
2071,토마스와 친구들: 블루마운틴 미스터리,전체 관람가
2072,세션 : 이 남자가 사랑하는 법,2013.01.17.
2073,페어리테일: 봉황의 무녀,전체 관람가
2074,소명 하늘의 별,12세 관람가
2075,슈퍼히어로,전체 관람가
2076,모래가 흐르는 강,2013.03.28.
2077,파라노만,12세 관람가
2078,"다시, 뜨겁게 사랑하라!",15세 관람가
2079,로봇 앤 프랭크,12세 관람가
2080,당신에게도 사랑이 다시 찾아올까요?,15세 관람가
2081,나에게서 온 편지,12세 관람가
2082,쉐프,전체 관람가
2083,콜렉션,청소년 관람불가
2084,드림팀,12세 관람가
2085,라스트 엑소시즘: 잠들지 않는 영혼,15세 관람가
2086,메탈리카 스루 더 네버,15세 관람가
2087,로렌스 애니웨이,15세 관람가
2088,킬링시즌,청소년 관람불가
2089,"페어웰, 마이 퀸",15세 관람가
2090,연애의 기술,청소년 관람불가
2091,초한지: 영웅의 부활,Nan
2092,라 붐,15세 관람가
2093,노킹 온 헤븐스 도어,15세 관람가
2094,폭스파이어,15세 관람가
2095,날아라! 호빵맨 극장판: 구하라! 코코링과 기적의 별,전체 관람가
2096,화양연화,15세 관람가
2097,춤추는 숲,전체 관람가
2098,"가자, 장미여관으로",청소년 관람불가
