,month,year,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,a_avg_dir,r_avg_dir,a_avg_act,r_avg_act
1635,12,2019,1195,42083,1,4,1.0,2,122.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1380000.0,7.566666667,2253638.889,8.464
1636,1,2018,791,41806,1,4,1.0,2,118.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1380000.0,7.566666667,2253638.889,8.464
1637,2,2019,1047,89564,0,0,1.0,2,112.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,288941.8016220561,5.461852312476617
1638,3,2013,766,62627,1,7,1.0,3,110.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,225768.32117104737,5.498639112275811,1525248.571,6.745904762
1639,9,2014,234,3894,1,6,0.0,4,90.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,602889.3333,7.597222222,348838.8056,7.538055556
1640,2,2018,231,2099,2,0,0.0,1,94.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35869.46667,7.460285714,1281234.508,7.382380952
1641,8,2019,265,1438,1,2,0.0,1,71.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,288941.8016220561,5.461852312476617
1642,3,2018,1191,97482,0,2,1.0,2,131.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1655000.0,8.72,2786367.867,7.829166667
1643,9,2015,70,5053,0,2,1.0,4,121.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15153.125,7.83,921000.0,7.69125
1644,4,2017,172,2310,2,0,0.0,2,104.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,1480974.583,7.878333333
1645,6,2017,119,5393,1,1,1.0,3,102.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,83000.0,7.87,288941.8016220561,5.461852312476617
1646,3,2013,81,6661,0,6,0.0,3,108.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29309.0,6.468,342722.4667,7.306666667
1647,10,2017,854,35453,1,3,1.0,2,109.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,225768.32117104737,5.498639112275811,357915.0,8.12
