,name,r_avg,a_avg
332, 레너드 니모이,8.3575,2732500.0
333, 이새아,NULL,NULL
334, 최민호,NULL,NULL
335, 권창욱,8.517142857142856,89674.42857142857
336, 제이슨 스타뎀,8.218750000000002,1769138.625
337, 자흐 갈리피아나키스,8.24,91250.0
338, 프란치스코,NULL,NULL
339, 바바라 레니,8.29,42700.333333333336
340, 오다기리 죠,6.875,4677.5
341, 엘리자베스 모스,8.164,428200.0
342, 매즈 미켈슨,8.205000000000002,1108188.5
343, 웨스 스투디,7.59,119000.0
344, 케이티 응우옌,NULL,387.0
345, 피오 마르마이,NULL,NULL
346, 엘리자베스 뱅크스,7.596000000000001,52484.0
347, 통따웨이,7.84,123.0
348, 이사벨라 로셀리니,8.065,802543.5
349, 제임스 플린,8.45,705000.0
350, 헤르난 브라보,7.43,99000.0
351, 링고 스타,NULL,NULL
352, 장철영,NULL,NULL
353, 톰 행크스,8.96,1457637.25
354, 카야 스코델라리오,8.075999999999999,1642122.2
355, 존 굿맨,7.6814285714285715,719246.1428571428
356, 레이첼 니콜스,4.1,5171.666666666667
357, 이주승,7.5625,72398.75
358, 네이슨 레인,NULL,NULL
359, 류준열,8.507142857142856,4192857.1428571427
360, 제롬 플린,8.915,720000.0
361, 노지마 켄지,NULL,NULL
362, 오자와 유키요시,7.59,51000.0
363, 타나카 카즈나리,NULL,NULL
364, 임경신,6.718000000000001,168352.66666666666
365, 조슈 브롤린,8.79125,3836951.375
366, 빌리 디 윌리엄스,8.08,320000.0
367, 이상희,8.684000000000001,7099.2
368, 샤메익 무어,9.37,360067.5
369, 기욤 까네,8.502,22942.5
370, 유재상,8.000000000000002,2652857.1428571427
371, 파이퍼 브라운,NULL,NULL
372, 조우진,8.405,1631666.6666666667
373, 프랑수아 다미앙,NULL,NULL
374, 장세아,NULL,NULL
375, 애런 존슨,8.1875,3309000.0
376, 로버트 시한,7.826666666666665,322554.0
377, 문정희,8.37142857142857,1444571.4285714286
378, 마치아스 슈와바이어퍼,7.7650000000000015,38000.0
379, 오인실,NULL,NULL
380, 올리비아 다보,5.6000000000000005,19405.5
381, 성유빈,8.661666666666667,3498500.0
382, 김도훈,NULL,NULL
383, 스칼렛 요한슨,NULL,NULL
384, 메리 엘리자베스 윈스티드,8.083333333333334,376666.6666666667
385, 디몬 하운수,8.562,2474000.0
386, 라이언 레이놀즈,8.221666666666666,270279.0
387, 정우성,7.721666666666667,1006166.6666666666
388, 김서영,7.72,870000.0
389, 타카야마 미나미,NULL,NULL
390, 마야 루돌프,8.5525,162250.0
391, 성준,7.07,363333.3333333333
392, 타카츠키 카나코,NULL,NULL
393, 이와세 료,8.7925,25062.6
394, 쿠로사와 토모요,NULL,NULL
395, 아르튀르 뒤퐁,7.665,14071.333333333334
396, 랄프 파인즈,7.946666666666666,944333.3333333334
397, 멜라니 그리피스,7.605,577246.0
398, 메허샬레하쉬바즈 엘리,NULL,NULL
399, 닉 크롤,8.15,387750.0
400, 폴 다노,8.255714285714285,165142.85714285713
401, 조민수,7.92375,2037666.6666666667
402, 에드 오닐,NULL,NULL
403, 도미닉 쿠퍼,8.156000000000002,955264.0
404, 박희본,7.9071428571428575,322697.14285714284
405, 요르다노스 시프로우,9.54,140000.0
406, 지진희,6.052857142857143,524435.8571428572
407, 마르쿠스 리가르드,NULL,NULL
