,actor,필모그래피 개수,천만관객 뱃지 유무,수상 개수
883, 하시모토 아이,,,
884, 케이티 코시니,,,
885, 샘 록웰,,,
886, 와타나베 츠루기,,,
887, 제라드 버틀러,,,
888, 코코,,,
889, 파이살 아메드,,,
890, 냇 울프,,,
891, 라미 말렉,,,
892, 카렐 로든,,,
893, 염정아,,,
894, 이소연,,,
895, 에리카 마로잔,,,
896, 윌렘 대포,,,
897, 크리스틴 스콧 토마스,,,
898, 쉐인 하퍼,,,
899, 다니엘 래드클리프,,,
900, 임채헌,,,
901, 틸다 스윈튼,,,
902, 정유미,,,
903, 케빈 베이컨,,,
904, 크리스토퍼 에클리스턴,,,
905, 이시하라 카오리,,,
906, 배진홍,,,
907, 앤서니 퀸틀,,,
908, 루이스 서키스,,,
909, 귀욤 고익스,,,
910, 이엘,,,
911, 스텔란 스카스가드,,,
912, 맥스 마티니,,,
913, 이서진,,,
914, 조쉬 더하멜,,,
915, 엘든 이렌리치,,,
916, 야스노 키요노,,,
917, 아누쉬카 샤르마,,,
918, 시원,,,
919, 토쿠이 소라,,,
920, 카일리 미노그,,,
921, 사무엘 조슬린,,,
922, 마리옹 꼬띠아르,,,
923, 에이샤 호수완,,,
924, 나이토 타카시,,,
925, 로버트 스톨텐베르그,,,
926, 잔 조세프 리퍼스,,,
927, 케이트 미쿠치,,,
928, 이케다 슈이치,,,
929, 올리비아 홀트,,,
930, 채닝 테이텀,,,
931, 카트린 프로,,,
932, 쉬라토리 유리,,,
933, 김의성,,,
934, 전현무,,,
935, 박재현,,,
936, 이안 헤콕스,,,
937, 한으뜸,,,
938, 고아성,,,
939, 안은새,,,
940, 강은비,,,
941, 마리아나 스피바크,,,
942, 후안 샌즈,,,
943, 오노 마치코,,,
944, 오스틴 펜들튼,,,
945, 나탈리 볼트,,,
946, 돈 존슨,,,
947, 한복현,,,
948, 토머스 보 라센,,,
949, 강신철,,,
950, 로저 카렐,,,
951, 루이스 풀먼,,,
952, 라이언 포터,,,
953, 박선영,,,
954, 도미니크 아벨,,,
955, 그웬돌린 크리스티,,,
956, 윤두준,,,
957, 남주혁,,,
958, 엘리아데스 오초아,,,
959, 우에다 유지,,,
960, 최진리,,,
961, 제임스 프레체빌,,,
962, 박상욱,,,
963, 케이트 허드슨,,,
964, 황태광,,,
965, 박정욱,,,
966, 기영도,,,
967, 찰리 콕스,,,
968, 김지민,,,
969, 이태란,,,
970, 변요한,,,
971, 소피 넬리스,,,
972, 알렉산더 스카스가드,,,
973, 루이스 이글레시아스,,,
974, 안윤선,,,
975, 발로리 커리,,,
976, 홍소영,,,
977, 샬롯 램플링,,,
978, 원에스더,,,
979, 조윤희,,,
980, 시오노 아키히사,,,
981, 윤진이,,,
982, 헬렌 미렌,,,
983, 게리 메이틀랜드,,,
984, 전승화,,,
985, 이성민,,,
986, 다케우치 준코,,,
987, 토퍼 그레이스,,,
988, 노아 테일러,,,
989, 지민,,,
990, 정준호,,,
991, 롭 슈나이더,,,
992, 러셀 크로우,,,
993, 잭 맥브레이어,,,
994, 데이빗 크로스,,,
995, 김동욱,,,
996, 키무라 스바루,,,
997, 오양니니,,,
998, 멜리사 레오,,,
999, 베렌 로드리게즈,,,
1000, 루한,,,
1001, 앨런 릭먼,,,
1002, 밀라 요보비치,,,
1003, 박해준,,,
1004, 김환진,,,
1005, 에이미 포엘러,,,
1006, 이하율,,,
1007, 팀 커리,,,
1008, 윤소이,,,
1009, 김옥빈,,,
1010, 엄태웅,,,
1011, 정준하,,,
1012, 설혜인,,,
1013, 엠제이 안소니,,,
1014, 박주광,,,
1015, 조예은,,,
1016, 프랑크 가스탐비드,,,
1017, 오희준,,,
1018, 제임스 맥어보이,,,
1019, 한나 웨어,,,
1020, 쿠마 켄고,,,
1021, 안토니아 베레즈카,,,
1022, 여윤미,,,
1023, 김사라,,,
1024, 제니퍼 가너,,,
1025, 알렉스 러셀,,,
