idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30
57,불한당: 나쁜 놈들의 세상,2017.5.17,"7,587,004,625",0.4%,"939,535",860,"37,913",한국,한국,(주)씨제이이엔엠, 변성현,,,, 설경구, 임시완,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,그것,2017.9.6,"7,335,022,607",0.4%,"888,836",837,"35,430",미국,미국,워너브러더스 코리아(주), 아론 미르테스,,,, 아론 미르테스, 버트 컬버,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,오리엔트 특급 살인,2017.11.29,"6,636,205,163",0.4%,"863,567",707,"35,031",미국,미국,이십세기폭스코리아(주), 케네스 브래너,,,, 케네스 브래너, 페넬로페 크루즈, 윌렘 대포, 주디 덴치, 조니 뎁, 조시 게드, 데릭 제이코비, 레슬리 오덤 주니어, 미셸 파이퍼, 데이지 리들리,,,,,,,,,,,,,,,,,,,,
60,대립군,2017.5.31,"6,276,963,402",0.4%,"837,500",809,"29,084",한국,한국,이십세기폭스코리아(주), 정윤철,,,, 이정재, 여진구, 김무열,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,베이비 드라이버,2017.9.14,"6,699,906,214",0.4%,"822,769",778,"40,531",영국,영국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, 에드가 라이트,,,, 안셀 엘고트, 케빈 스페이시, 릴리 제임스, 에이사 곤살레스, 존 햄, 제이미 폭스,,,,,,,,,,,,,,,,,,,,,,,,
62,위대한 쇼맨,2017.12.20,"6,657,027,200",0.4%,"814,585",702,"20,306",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)", 마이클 그레이시,,,, 휴 잭맨, 잭 에프론, 미셸 윌리엄스, 레베카 퍼거슨, 젠데이아 콜먼,,,,,,,,,,,,,,,,,,,,,,,,,
63,뽀로로 극장판 공룡섬 대모험,2017.12.7,"5,848,888,600",0.3%,"773,743",803,"18,226",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 김현호, 윤제완,,, 이선, 이미자, 함수정, 홍소영, 정미숙, 김서영, 김환진,,,,,,,,,,,,,,,,,,,,,,,
64,레지던트 이블: 파멸의 날,2017.1.25,"6,422,202,365",0.4%,"765,259",599,"24,450",미국,"미국,독일,호주,캐나다,프랑스",유니버설픽쳐스인터내셔널 코리아(유), 폴 앤더슨,,,, 밀라 요보비치, 알리 라터, 이아인 글렌, 숀 로버츠,,,,,,,,,,,,,,,,,,,,,,,,,,
65,공각기동대 : 고스트 인 더 쉘,2017.3.29,"6,285,970,884",0.4%,"764,072",807,"36,261",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 루퍼트 샌더스,,,, 스칼릿 조핸슨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,트롤,2017.2.16,"5,011,161,500",0.3%,"675,966",622,"18,387",미국,미국,(주)씨제이이엔엠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,패신저스,2017.1.4,"5,467,466,918",0.3%,"668,576",608,"21,517",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 모튼 틸덤,,,, 제니퍼 로렌스, 크리스 프랫, 마이클 쉰,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,씽,2016.12.21,"5,062,317,800",0.3%,"667,598",721,"17,191",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 가스 제닝스,,,, 매튜 맥커너히, 리즈 위더스푼, 스칼릿 조핸슨, 태런 에저튼, 토리 켈리, 닉 크롤, 세스 맥팔레인,,,,,,,,,,,,,,,,,,,,,,,
69,아빠는 딸,2017.4.12,"5,054,757,395",0.3%,"647,305",586,"33,263",한국,한국,메가박스중앙(주)플러스엠, 오치아이 켄,,,, 호 타이 화, 케이티 응우옌,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,컨택트,2017.2.2,"5,214,551,521",0.3%,"634,150",605,"22,770",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 로버트 저메키스,,,, 조디 포스터, 매튜 맥커너히,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,47 미터,2017.7.19,"4,686,079,657",0.3%,"590,045",733,"20,457",영국,영국,(주)키다리이엔티, 요하네스 로버츠,,,, 소피 넬리스, 시스틴 로즈 스탤론, 브리안느 쥬, 코린 폭스,,,,,,,,,,,,,,,,,,,,,,,,,,
72,메리와 마녀의 꽃,2017.12.7,"4,064,280,239",0.2%,"535,331",751,"21,383",일본,일본,CGV아트하우스, 요네바야시 히로마사,,,, 스기사키 하나, 카미키 류노스케,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,얼라이드,2017.1.11,"4,278,041,179",0.2%,"518,886",546,"19,875",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 로버트 저메키스,,,, 브래드 피트, 마리옹 꼬띠아르, 리지 캐플란, 자레드 해리스,,,,,,,,,,,,,,,,,,,,,,,,,,
74,발레리안: 천 개 행성의 도시,2017.8.30,"4,047,756,408",0.2%,"511,931",629,"23,405",프랑스,프랑스,판씨네마(주), 뤽 베송,,,, 데인 드한, 카라 델레바인,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,그레이트 월,2017.2.15,"4,355,441,358",0.2%,"501,486",598,"23,094",미국,"미국,중국",유니버설픽쳐스인터내셔널 코리아(유), 장이머우,,,, 맷 데이먼, 윌렘 대포, 페드로 파스칼, 유덕화, 경첨, 루한,,,,,,,,,,,,,,,,,,,,,,,,
76,침묵,2017.11.2,"3,930,219,264",0.2%,"494,097",634,"23,228",한국,한국,(주)씨제이이엔엠, 정지우,,,, 최민식, 박신혜, 류준열, 이하늬,,,,,,,,,,,,,,,,,,,,,,,,,,
77,카3: 새로운 도전,2017.7.13,"3,599,544,501",0.2%,"487,916",800,"14,906",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 브라이언 피,,,, 오웬 윌슨, 크리스텔라 알론조, 아미 해머,,,,,,,,,,,,,,,,,,,,,,,,,,,
