idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,director5,director6,director7,director8,director9,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19
72,7년의 밤,2018.3.28,"3,969,337,524",0.2%,"528,007",872,"26,804",한국,한국,(주)씨제이이엔엠, 추창민,,,,,,,,, 장동건, 류승룡, 송새벽, 고경표,,,,,,,,,,,,,,,
73,메가로돈,2018.8.15,"4,516,122,497",0.2%,"527,962",601,"16,459",미국,미국,워너브러더스 코리아(주), 존 터틀타웁,,,,,,,,, 제이슨 스타뎀, 레인 윌슨,,,,,,,,,,,,,,,,,
74,콰이어트 플레이스,2018.4.12,"4,580,889,849",0.3%,"526,073",677,"30,760",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 존 크래신스키,,,,,,,,, 에밀리 블런트, 킬리언 머피, 밀리센트 시몬스, 노아 주프,,,,,,,,,,,,,,,
75,호두까기 인형과 4개의 왕국,2018.12.6,"4,120,048,900",0.2%,"513,767",294,"14,238",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 라세 할스트롬, 조 존스톤,,,,,,,, 키이라 나이틀리, 매켄지 포이, 헬렌 미렌, 모건 프리먼,,,,,,,,,,,,,,,
76,셰이프 오브 워터: 사랑의 모양,2018.2.22,"4,218,077,050",0.2%,"507,102",404,"20,200",미국,미국,이십세기폭스코리아(주), 기예르모 델 토로,,,,,,,,, 샐리 호킨스, 마이클 섀넌, 리차드 젠킨스, 옥타비아 스펜서, 마이클 스털버그, 더그 존스,,,,,,,,,,,,,
77,곰돌이 푸 다시 만나 행복해,2018.10.3,"4,093,369,860",0.2%,"492,201",536,"21,601",미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 마크 포스터,,,,,,,,, 이완 맥그리거, 헤일리 앳웰, 마크 게티스, 짐 커밍스,,,,,,,,,,,,,,,
78,변산,2018.7.4,"4,016,562,273",0.2%,"490,519",763,"27,504",한국,한국,메가박스중앙(주)플러스엠, 이준익,,,,,,,,, 박정민, 김고은,,,,,,,,,,,,,,,,,
79,그린치,2018.12.19,"3,675,441,950",0.2%,"485,064",724,"10,998",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 스콧 모지어, 야로우 체니,,,,,,,, 베네딕트 컴버배치, 퍼렐 윌리엄스,,,,,,,,,,,,,,,,,
80,스타 이즈 본,2018.10.9,"4,197,504,400",0.2%,"483,852",555,"25,781",미국,미국,워너브러더스 코리아(주), 브래들리 쿠퍼,,,,,,,,, 브래들리 쿠퍼, 레이디 가가,,,,,,,,,,,,,,,,,
81,동네사람들,2018.11.7,"3,818,515,112",0.2%,"461,693",731,"23,598",한국,한국,(주)리틀빅픽쳐스, 임진순,,,,,,,,, 마동석, 김새론,,,,,,,,,,,,,,,,,
