idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46
65,도라에몽 : 스탠 바이 미,2015.2.12,"3,684,756,429",0.20%,"503,968",432,"13,063",일본,일본,(주)넥스트엔터테인먼트월드(NEW), 야기 류이치, 야마자키 다카시, 윤아영, 김정아, 김혜성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,위험한 상견례 2,2015.4.29,"3,575,384,754",0.20%,"472,693",429,"18,409",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트", 김진영,, 진세연, 홍종현, 신정근, 전수경, 김응수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,명탐정 코난 : 화염의 해바라기,2015.8.5,"3,296,031,400",0.20%,"471,205",433,"8,877",일본,일본,(주)씨제이이엔엠, 시즈노 코분,, 김선혜, 강수진, 신용우, 이현진, 타카야마 미나미, 야마자키 와카나, 코야마 리키야, 야마구치 캇페이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,순수의 시대,2015.3.5,"3,740,948,828",0.20%,"469,891",546,"23,623",한국,한국,(주)씨제이이엔엠, 안상훈,, 신하균, 장혁, 강한나, 강하늘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,오피스,2015.9.3,"3,460,460,230",0.20%,"441,208",425,"18,575",한국,한국,(주)리틀빅픽쳐스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"협녀, 칼의 기억",2015.8.13,"3,360,045,489",0.20%,"431,310",572,"16,099",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 박흥식,, 이병헌, 전도연, 김고은,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,어린왕자,2015.12.23,"3,195,586,794",0.20%,"428,855",494,"8,384",프랑스,프랑스,씨네그루(주)다우기술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,무뢰한,2015.5.27,"3,262,207,431",0.20%,"414,641",482,"23,660",한국,한국,CGV아트하우스, 오승욱,, 전도연, 김남길, 박성웅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,판타스틱 4,2015.8.20,"3,029,310,600",0.20%,"399,667",451,"16,241",미국,미국,이십세기폭스코리아(주), 팀 스토리,, 이안 그루퍼드, 제시카 알바, 크리스 에반스, 마이클 치클리스, 줄리안 맥마혼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,뽀로로 극장판 컴퓨터 왕국 대모험,2015.12.10,"2,902,090,600",0.20%,"391,760",544,"10,893",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 박영균,, 이선, 이미자, 함수정, 홍소영, 정미숙, 김서영, 김환진, 엄상현,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,내 심장을 쏴라,2015.1.28,"2,856,859,132",0.20%,"387,409",452,"20,042",한국,한국,"(주)리틀빅픽쳐스,(주)이수C&E", 문제용,, 이민기, 여진구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,소수의견,2015.6.24,"2,892,681,205",0.20%,"383,582",398,"16,273",한국,한국,(주)시네마서비스, 김성제,, 윤계상, 유해진, 김옥빈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,그레이의 50가지 그림자,2015.2.26,"2,918,598,796",0.20%,"364,415",512,"19,227",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 제임스 폴리,, 다코타 존슨, 제이미 도넌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
